url,price,product_name
https://www.hobo.nl/anthem-mrx-720.html,"1.899,-",Paradigm Soundscape
https://www.hobo.nl/anthem-mrx-720.html,"799,-",Sonos PLAYBAR
https://www.hobo.nl/ma8000.html,"1.099,-",Thorens TD 209 hoogglans wit
https://www.hobo.nl/ma8000.html,"1.099,-",Thorens TD 209 hoogglans rood
https://www.hobo.nl/ma8000.html,"1.099,-",Thorens TD 209 hoogglans zwart
https://www.hobo.nl/carbon-coax-9881.html,"69,-",AudioQuest Cinnamon Optical 
https://www.hobo.nl/carbon-coax-9881.html,"35,-",AudioQuest Evergreen 3.5mm-RCA 
https://www.hobo.nl/carbon-coax-9881.html,"35,-",AudioQuest Evergreen RCA 
https://www.hobo.nl/accessoires/stand-3x.html,"58,95",Flexson PLAY:3 Muurbeugel  wit
https://www.hobo.nl/accessoires/stand-3x.html,"39,95",Flexson PLAY:1 Muurbeugel  zwart
https://www.hobo.nl/accessoires/stand-3x.html,"58,95",Flexson PLAY:3 Muurbeugel  zwart
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"149,-",DALI Zensor 1 wit
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"159,-",Bowers & Wilkins CCM382
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"179,-",Yamaha MusicCast WX-010 wit
https://www.hobo.nl/nad-m32-zilver.html,"74,95",Bayan Audio StreamPort Universal wit
https://www.hobo.nl/nad-m32-zilver.html,"139,-",Arcam miniBlink
https://www.hobo.nl/nad-m32-zilver.html,"229,-",Arcam rBlink zwart
https://www.hobo.nl/audioquest-dragonfly-red.html,"89,-",Pryma Pryma 01 Headband Marsala
https://www.hobo.nl/audioquest-dragonfly-red.html,"89,-",Pryma Pryma 01 Headband Pure Black Silver
https://www.hobo.nl/audioquest-dragonfly-red.html,"89,-",Pryma Pryma 01 Headband Dark Grey
https://www.hobo.nl/anthem-mrx-720.html,"3.799,-",Samsung UE65JU7000
https://www.hobo.nl/anthem-mrx-720.html,"2.299,-",Samsung UE48JS9000L
https://www.hobo.nl/anthem-mrx-720.html,"699,-",NAD T748 V2
https://www.hobo.nl/ma8000.html,"1.499,-",Thorens TD 309 rood
https://www.hobo.nl/ma8000.html,"1.499,-",Thorens TD 309 zwart
https://www.hobo.nl/ma8000.html,"1.499,-",Thorens TD 309 hoogglans wit
https://www.hobo.nl/carbon-coax-9881.html,"27,50",AudioQuest Forest Dig. Coax 
https://www.hobo.nl/carbon-coax-9881.html,"39,-",AudioQuest Forest HDMI 
https://www.hobo.nl/carbon-coax-9881.html,"39,-",AudioQuest Forest Optical 
https://www.hobo.nl/accessoires/stand-3x.html,"68,95",Flexson PLAY:1 Muurbeugelset Wit
https://www.hobo.nl/accessoires/stand-3x.html,"73,95",Flexson PLAY:1 Muurbeugelset Zwart
https://www.hobo.nl/accessoires/stand-3x.html,"399,95",Vogel's NEXT 7345 DesignMount muurbeugel
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"179,-",Yamaha MusicCast WX-010 zwart
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"169,-",Paradigm CI Home H55-IW
https://www.hobo.nl/nad-m32-zilver.html,"3.990,-",AVM CS 2.2  zwart
https://www.hobo.nl/nad-m32-zilver.html,"3.990,-",AVM CS 2.2  zilver
https://www.hobo.nl/nad-m32-zilver.html,"5.490,-",AVM CS 5.2  zwart
https://www.hobo.nl/audioquest-dragonfly-red.html,"89,-",Pryma Pryma 01 Headband Pure Black Notte
https://www.hobo.nl/audioquest-dragonfly-red.html,"89,-",Pryma Pryma 01 Headband Pure Black Gold
https://www.hobo.nl/audioquest-dragonfly-red.html,"399,-",Sennheiser RS 195
https://www.hobo.nl/anthem-mrx-720.html,"1.499,-",Anthem MRX 310
https://www.hobo.nl/anthem-mrx-720.html,"1.499,-",Elac 2.1 MicroMagic
https://www.hobo.nl/anthem-mrx-720.html,"1.899,-",Arcam FMJ AVR380
https://www.hobo.nl/ma8000.html,"1.499,-",Thorens TD 309 hoogglans rood
https://www.hobo.nl/ma8000.html,"1.499,-",Thorens TD 309 hoogglans zwart
https://www.hobo.nl/carbon-coax-9881.html,"75,-",AudioQuest Golden Gate 3.5mm-RCA 
https://www.hobo.nl/carbon-coax-9881.html,"225,-",AudioQuest Carbon HDMI
https://www.hobo.nl/carbon-coax-9881.html,"89,-",AudioQuest Irish Red 
https://www.hobo.nl/accessoires/stand-3x.html,"209,-",Pro-Ject AD Phono Box S zilver
https://www.hobo.nl/accessoires/stand-3x.html,"99,-",Pro-Ject Acryl it E draaiplateau
https://www.hobo.nl/accessoires/stand-3x.html,"79,-",Ortofon 2M Red naald
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"169,-",Paradigm CI Home H55-R
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"299,-",Yamaha MusicCast WX-030 zwart
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"199,-",Paradigm CI Home H65-IW
https://www.hobo.nl/nad-m32-zilver.html,"5.490,-",AVM CS 5.2  zilver
https://www.hobo.nl/nad-m32-zilver.html,"3.990,-",AVM SD 3.2 zwart
https://www.hobo.nl/nad-m32-zilver.html,"3.990,-",AVM SD 3.2 zilver
https://www.hobo.nl/audioquest-dragonfly-red.html,"9,95",Com4Supplies Verlengkabel 6.3 mm - 5M
https://www.hobo.nl/audioquest-dragonfly-red.html,"4,95",Com4Supplies Adapter 6.3mm -> 3.5mm
https://www.hobo.nl/anthem-mrx-720.html,"1.099,-",Arcam UDP411
https://www.hobo.nl/anthem-mrx-720.html,"1.599,-",Oppo BDP-105 Darbee Edition zwart
https://www.hobo.nl/ma8000.html,"2.799,-",Anthem PVA7 zwart
https://www.hobo.nl/ma8000.html,"2.199,-",Anthem PVA5 zwart
https://www.hobo.nl/carbon-coax-9881.html,"189,-",AudioQuest Mackenzie RCA 
https://www.hobo.nl/carbon-coax-9881.html,"189,-",AudioQuest Mackenzie XLR 
https://www.hobo.nl/carbon-coax-9881.html,"135,-",AudioQuest NRG-2 
https://www.hobo.nl/accessoires/stand-3x.html,"129,-",Paradigm Perfect Bass Kit PBK-1
https://www.hobo.nl/accessoires/stand-3x.html,"199,-",AudioQuest DragonFly Red
https://www.hobo.nl/accessoires/stand-3x.html,"55,-",Flexson FLXC2O1021 digitale coax naar optisch converter
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"199,-",Paradigm CI Home H65-R
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"299,-",Yamaha MusicCast WX-030 wit
https://www.hobo.nl/luidsprekers/elac-starlet-wit-hoogglans.html,"199,-",Bowers & Wilkins CCM665
https://www.hobo.nl/nad-m32-zilver.html,"5.490,-",AVM SD 5.2 zwart
https://www.hobo.nl/nad-m32-zilver.html,"5.490,-",AVM SD 5.2 zilver
https://www.hobo.nl/audioquest-dragonfly-red.html,"349,-",Bowers & Wilkins P7
https://www.hobo.nl/audioquest-dragonfly-red.html,"89,95",Com4Supplies Hoofdtelefoonstand
https://www.hobo.nl/anthem-mrx-720.html,"749,-",Arcam Solo Bar
https://www.hobo.nl/anthem-mrx-720.html,"1.599,-",LG  49UF850
https://www.hobo.nl/anthem-mrx-720.html,"3.459,-",Arcam FMJAVR550
https://www.hobo.nl/ma8000.html,"1.649,-",Anthem PVA2 zwart
https://www.hobo.nl/ma8000.html,"549,-",Bluesound Node 2 wit
https://www.hobo.nl/ma8000.html,"899,-",Bluesound PowerNode 2 wit
https://www.hobo.nl/carbon-coax-9881.html,"59,-",AudioQuest NRG-X2  C7
